period_begin,period_end,region,state,state_code,property_type, median_sale_price , median_list_price , homes_sold , pending_sales , new_listings , inventory , months_of_supply , median_days_on_market ,avg_sale_to_list,sold_above_list
1/1/2014,1/31/2014,"Washington County, OR",Oregon,OR,Single Family Residential," $289,750.00 "," $279,000.00 ", 352.00 , 313.00 , 427.00 , 977.00 , 2.80 , 50.00 ,98.70%,26.14%
1/1/2014,1/31/2014,"Polk County, NC",North Carolina,NC,Single Family Residential," $197,550.00 "," $217,950.00 ", 12.00 , 6.00 , 23.00 , 109.00 , 9.10 , 143.00 ,95.06%,8.33%
1/1/2014,1/31/2014,"Falls Church, VA",Virginia,VA,Single Family Residential," $692,500.00 "," $635,000.00 ", 2.00 , 7.00 , 6.00 , 11.00 , 5.50 , 58.00 ,97.48%,0.00%
1/1/2014,1/31/2014,"Wakulla County, FL",Florida,FL,Single Family Residential," $105,300.00 "," $153,500.00 ", 21.00 , 10.00 , 47.00 , 231.00 , 11.00 , 150.00 ,94.64%,14.29%
1/1/2014,1/31/2014,"Cannon County, TN",Tennessee,TN,Single Family Residential," $110,000.00 "," $154,900.00 ", 5.00 , 7.00 , 19.00 , 71.00 , 14.20 , 93.00 ,95.46%,0.00%
1/1/2014,1/31/2014,"Strafford County, NH",New Hampshire,NH,Single Family Residential," $206,250.00 "," $189,900.00 ", 51.00 , 19.00 , 75.00 , 417.00 , 8.20 , 108.00 ,96.78%,23.53%
1/1/2014,1/31/2014,"Morrison County, MN",Minnesota,MN,Single Family Residential," $107,450.00 "," $142,900.00 ", 12.00 , 6.00 , 28.00 , 190.00 , 15.80 , 127.00 ,87.95%,8.33%
1/1/2014,1/31/2014,"Atascosa County, TX",Texas,TX,Single Family Residential," $136,450.00 "," $129,000.00 ", 10.00 , 4.00 , 13.00 , 83.00 , 8.30 , 175.00 ,97.40%,10.00%
1/1/2014,1/31/2014,"Surry County, NC",North Carolina,NC,Single Family Residential," $39,180.00 "," $113,900.00 ", 26.00 , 11.00 , 54.00 , 216.00 , 8.30 , 116.00 ,87.19%,7.69%
1/1/2014,1/31/2014,"West Baton Rouge Parish, LA",Louisiana,LA,Single Family Residential," $182,900.00 "," $216,900.00 ", 13.00 , 4.00 , 23.00 , 116.00 , 8.90 , 125.00 ,99.66%,53.85%
1/1/2014,1/31/2014,"Lamoille County, VT",Vermont,VT,Single Family Residential," $244,000.00 "," $265,000.00 ", 20.00 , 4.00 , 18.00 , 144.00 , 7.20 , 226.00 ,89.80%,0.00%
1/1/2014,1/31/2014,"Honolulu County, HI",Hawaii,HI,Single Family Residential," $639,000.00 "," $496,500.00 ", 232.00 , 153.00 , 332.00 ," 1,102.00 ", 4.80 , 80.00 ,98.91%,28.88%
1/1/2014,1/31/2014,"Van Buren County, AR",Arkansas,AR,Single Family Residential," $44,450.00 "," $88,950.00 ", 8.00 , 2.00 , 15.00 , 145.00 , 18.10 , 145.00 ,79.10%,0.00%
1/1/2014,1/31/2014,"Shackelford County, TX",Texas,TX,Single Family Residential," $67,500.00 "," $125,000.00 ", 2.00 , 1.00 , 1.00 , 2.00 , 1.00 , 37.00 ,97.17%,50.00%
1/1/2014,1/31/2014,"Charleston County, SC",South Carolina,SC,Single Family Residential," $271,000.00 "," $277,500.00 ", 330.00 , 120.00 , 455.00 ," 2,331.00 ", 7.10 , 142.00 ,97.34%,16.67%
1/1/2014,1/31/2014,"Seneca County, OH",Ohio,OH,Single Family Residential," $40,000.00 "," $74,900.00 ", 13.00 , 21.00 , 9.00 , 88.00 , 6.80 , 128.00 ,89.75%,7.69%
1/1/2014,1/31/2014,"Comanche County, TX",Texas,TX,Single Family Residential," $87,000.00 "," $109,450.00 ", 5.00 , 2.00 , 8.00 , 68.00 , 13.60 , 132.00 ,92.53%,0.00%
1/1/2014,1/31/2014,"Taylor County, WI",Wisconsin,WI,Single Family Residential," $83,250.00 "," $99,700.00 ", 4.00 , 3.00 , 6.00 , 87.00 , 21.80 , 278.00 ,96.25%,0.00%
1/1/2014,1/31/2014,"Merced County, CA",California,CA,Single Family Residential," $161,750.00 "," $189,900.00 ", 136.00 , 148.00 , 218.00 , 382.00 , 2.80 , 26.00 ,99.36%,39.71%
1/1/2014,1/31/2014,"Flagler County, FL",Florida,FL,Single Family Residential," $135,000.00 "," $190,900.00 ", 1.00 ,, 3.00 , 25.00 , 25.00 , 103.00 ,96.50%,0.00%
1/1/2014,1/31/2014,"Sevier County, UT",Utah,UT,Single Family Residential," $157,900.00 "," $119,500.00 ", 3.00 , 1.00 , 6.00 , 62.00 , 20.70 , 105.00 ,97.75%,0.00%
1/1/2014,1/31/2014,"Lafayette County, WI",Wisconsin,WI,Single Family Residential," $63,000.00 "," $89,900.00 ", 5.00 , 3.00 , 11.00 , 66.00 , 13.20 , 53.00 ,86.99%,0.00%
1/1/2014,1/31/2014,"Burnet County, TX",Texas,TX,Single Family Residential," $133,500.00 "," $254,950.00 ", 18.00 , 5.00 , 41.00 , 214.00 , 11.90 , 136.00 ,91.79%,0.00%
1/1/2014,1/31/2014,"Josephine County, OR",Oregon,OR,Single Family Residential," $202,250.00 "," $199,900.00 ", 62.00 , 18.00 , 49.00 , 381.00 , 6.10 , 154.00 ,98.38%,19.35%
1/1/2014,1/31/2014,"Fulton County, OH",Ohio,OH,Single Family Residential," $60,000.00 "," $106,200.00 ", 17.00 , 6.00 , 15.00 , 164.00 , 9.60 , 120.00 ,94.47%,23.53%
1/1/2014,1/31/2014,"Kalamazoo County, MI",Michigan,MI,Single Family Residential," $126,725.00 "," $139,900.00 ", 138.00 , 46.00 , 135.00 , 961.00 , 7.00 , 139.00 ,96.94%,15.22%
1/1/2014,1/31/2014,"Perry County, TN",Tennessee,TN,Single Family Residential," $193,500.00 "," $95,905.00 ", 2.00 , 2.00 , 4.00 , 37.00 , 18.50 , 590.00 ,91.11%,0.00%
1/1/2014,1/31/2014,"Nicholas County, KY",Kentucky,KY,Single Family Residential," $50,000.00 "," $87,250.00 ", 1.00 ,, 4.00 , 23.00 , 23.00 , 113.00 ,106.38%,100.00%
1/1/2014,1/31/2014,"Costilla County, CO",Colorado,CO,Single Family Residential," $42,125.00 "," $68,000.00 ", 2.00 ,, 3.00 , 47.00 , 23.50 , 625.00 ,100.00%,0.00%
1/1/2014,1/31/2014,"Mecklenburg County, NC",North Carolina,NC,Single Family Residential," $173,000.00 "," $195,087.00 ", 998.00 ,," 1,424.00 "," 5,481.00 ", 5.50 , 105.00 ,97.25%,16.93%
1/1/2014,1/31/2014,"Pittsburg County, OK",Oklahoma,OK,Single Family Residential," $120,000.00 "," $94,900.00 ", 19.00 , 7.00 , 20.00 , 130.00 , 6.80 , 154.00 ,102.29%,47.37%
1/1/2014,1/31/2014,"Pike County, OH",Ohio,OH,Single Family Residential," $40,450.00 ",, 2.00 , 1.00 ,, 4.00 , 2.00 , 62.00 ,96.09%,0.00%
1/1/2014,1/31/2014,"Chambers County, TX",Texas,TX,Single Family Residential," $179,677.50 "," $180,000.00 ", 20.00 , 14.00 , 45.00 , 161.00 , 8.10 , 124.00 ,98.67%,15.00%
1/1/2014,1/31/2014,"Dawson County, GA",Georgia,GA,Single Family Residential," $173,900.00 "," $202,449.50 ", 27.00 , 19.00 , 57.00 , 258.00 , 9.60 , 103.00 ,94.77%,3.70%
1/1/2014,1/31/2014,"Mille Lacs County, MN",Minnesota,MN,Single Family Residential," $97,050.00 "," $149,900.00 ", 20.00 , 18.00 , 25.00 , 152.00 , 7.60 , 89.00 ,98.01%,25.00%
1/1/2014,1/31/2014,"Lander County, NV",Nevada,NV,Single Family Residential," $90,000.00 "," $151,950.00 ", 1.00 ,, 2.00 , 6.00 , 6.00 , 785.00 ,100.00%,0.00%
1/1/2014,1/31/2014,"Riverside County, CA",California,CA,Single Family Residential," $295,000.00 "," $300,000.00 "," 1,876.00 "," 1,983.00 "," 3,154.00 "," 6,298.00 ", 3.40 , 32.00 ,98.91%,29.90%
1/1/2014,1/31/2014,"Henderson County, NC",North Carolina,NC,Single Family Residential," $188,000.00 "," $185,000.00 ", 108.00 , 25.00 , 107.00 , 531.00 , 4.90 , 125.00 ,97.39%,12.04%
1/1/2014,1/31/2014,"Essex County, MA",Massachusetts,MA,Single Family Residential," $383,000.00 "," $325,000.00 ", 323.00 , 155.00 , 367.00 ," 1,630.00 ", 5.00 , 103.00 ,96.93%,13.62%
1/1/2014,1/31/2014,"Somerset County, PA",Pennsylvania,PA,Single Family Residential," $125,000.00 "," $115,900.00 ", 1.00 ,, 1.00 , 33.00 , 33.00 , 259.00 ,86.27%,0.00%
1/1/2014,1/31/2014,"Abbeville County, SC",South Carolina,SC,Single Family Residential," $183,300.00 "," $89,900.00 ", 1.00 ,, 5.00 , 25.00 , 25.00 , 214.00 ,83.70%,0.00%
1/1/2014,1/31/2014,"Gage County, NE",Nebraska,NE,Single Family Residential," $77,000.00 "," $61,500.00 ", 14.00 , 4.00 , 17.00 , 76.00 , 5.40 , 125.00 ,96.13%,14.29%
1/1/2014,1/31/2014,"Manassas, VA",Virginia,VA,Single Family Residential," $327,000.00 "," $233,000.00 ", 16.00 , 7.00 , 14.00 , 41.00 , 2.60 , 75.00 ,98.37%,25.00%
1/1/2014,1/31/2014,"Winchester, VA",Virginia,VA,Single Family Residential," $223,750.00 "," $191,900.00 ", 14.00 , 15.00 , 28.00 , 85.00 , 6.10 , 75.00 ,94.71%,0.00%
1/1/2014,1/31/2014,"Sullivan County, NH",New Hampshire,NH,Single Family Residential," $101,266.50 "," $149,900.00 ", 22.00 , 9.00 , 39.00 , 194.00 , 8.80 , 161.00 ,91.19%,13.64%
1/1/2014,1/31/2014,"Real County, TX",Texas,TX,Single Family Residential," $1,150,000.00 "," $169,000.00 ", 1.00 , 1.00 , 1.00 , 5.00 , 5.00 , 61.00 ,88.46%,0.00%
1/1/2014,1/31/2014,"Volusia County, FL",Florida,FL,Single Family Residential," $111,450.00 "," $144,900.00 ", 515.00 , 332.00 , 865.00 ," 3,325.00 ", 6.50 , 99.00 ,94.32%,11.84%
1/1/2014,1/31/2014,"Marinette County, WI",Wisconsin,WI,Single Family Residential," $81,000.00 "," $60,900.00 ", 27.00 , 5.00 , 27.00 , 347.00 , 12.90 , 161.00 ,93.73%,22.22%
1/1/2014,1/31/2014,"Warren County, MO",Missouri,MO,Single Family Residential," $119,900.00 "," $129,000.00 ", 27.00 ,, 31.00 , 138.00 , 5.10 , 114.00 ,96.02%,7.41%
1/1/2014,1/31/2014,"Grenada County, MS",Mississippi,MS,Single Family Residential," $23,000.00 "," $59,000.00 ", 1.00 ,, 4.00 , 7.00 , 7.00 , 108.00 ,92.37%,0.00%
1/1/2014,1/31/2014,"Dodge County, NE",Nebraska,NE,Single Family Residential," $91,500.00 "," $98,000.00 ", 29.00 , 10.00 , 19.00 , 103.00 , 3.60 , 95.00 ,92.93%,10.34%
1/1/2014,1/31/2014,"Scott County, MN",Minnesota,MN,Single Family Residential," $257,974.00 "," $237,900.00 ", 69.00 , 57.00 , 125.00 , 499.00 , 7.20 , 76.00 ,97.58%,15.94%
1/1/2014,1/31/2014,"Sedgwick County, CO",Colorado,CO,Single Family Residential," $32,000.00 ",, 3.00 , 2.00 ,, 12.00 , 4.00 , 86.00 ,82.73%,33.33%
1/1/2014,1/31/2014,"Camas County, ID",Idaho,ID,Single Family Residential," $58,000.00 "," $89,000.00 ", 1.00 ,, 1.00 , 9.00 , 9.00 ," 1,768.00 ",100.00%,0.00%
1/1/2014,1/31/2014,"Estill County, KY",Kentucky,KY,Single Family Residential," $37,500.00 "," $74,700.00 ", 3.00 , 1.00 , 5.00 , 52.00 , 17.30 , 195.00 ,94.34%,33.33%
1/1/2014,1/31/2014,"Lamar County, GA",Georgia,GA,Single Family Residential," $75,650.00 "," $110,000.00 ", 3.00 , 2.00 , 13.00 , 78.00 , 26.00 , 91.00 ,87.59%,33.33%
1/1/2014,1/31/2014,"Wagoner County, OK",Oklahoma,OK,Single Family Residential," $154,950.00 "," $149,843.00 ", 58.00 , 46.00 , 102.00 , 374.00 , 6.40 , 75.00 ,96.77%,17.24%
1/1/2014,1/31/2014,"Calaveras County, CA",California,CA,Single Family Residential," $125,000.00 "," $929,944.00 ", 1.00 ,, 2.00 , 11.00 , 11.00 , 92.00 ,102.54%,100.00%
1/1/2014,1/31/2014,"Santa Rosa County, FL",Florida,FL,Single Family Residential," $176,830.50 "," $188,625.00 ", 124.00 , 49.00 , 195.00 ," 1,184.00 ", 9.50 , 122.00 ,97.54%,14.52%
1/1/2014,1/31/2014,"Karnes County, TX",Texas,TX,Single Family Residential," $229,599.00 "," $164,500.00 ", 1.00 , 1.00 , 3.00 , 5.00 , 5.00 , 107.00 ,86.64%,0.00%
1/1/2014,1/31/2014,"Marion County, OR",Oregon,OR,Single Family Residential," $159,999.00 "," $179,900.00 ", 159.00 , 121.00 , 265.00 ," 1,057.00 ", 6.60 , 98.00 ,98.03%,18.87%
1/1/2014,1/31/2014,"Dunn County, WI",Wisconsin,WI,Single Family Residential," $108,000.00 "," $139,950.00 ", 23.00 , 5.00 , 34.00 , 157.00 , 6.80 , 134.00 ,93.97%,13.04%
1/1/2014,1/31/2014,"Wyoming County, NY",New York,NY,Single Family Residential," $89,100.00 "," $84,900.00 ", 19.00 , 4.00 , 19.00 , 144.00 , 7.60 , 169.00 ,88.49%,5.26%
1/1/2014,1/31/2014,"Sevier County, TN",Tennessee,TN,Single Family Residential," $149,930.00 "," $189,450.00 ", 60.00 , 5.00 , 66.00 , 570.00 , 9.50 , 403.00 ,94.34%,13.33%
1/1/2014,1/31/2014,"Caswell County, NC",North Carolina,NC,Single Family Residential," $200,000.00 "," $118,800.00 ", 7.00 , 1.00 , 7.00 , 43.00 , 6.10 , 247.00 ,91.27%,14.29%
1/1/2014,1/31/2014,"Madison County, VA",Virginia,VA,Single Family Residential," $151,000.00 "," $149,900.00 ", 3.00 , 7.00 , 7.00 , 76.00 , 25.30 , 107.00 ,96.04%,33.33%
1/1/2014,1/31/2014,"Henderson County, TX",Texas,TX,Single Family Residential," $84,500.00 "," $159,700.00 ", 24.00 , 13.00 , 94.00 , 378.00 , 15.80 , 148.00 ,94.32%,12.50%
1/1/2014,1/31/2014,"Caldwell County, MO",Missouri,MO,Single Family Residential," $127,500.00 "," $124,500.00 ", 1.00 ,, 6.00 ,, 28.00 , 174.00 ,,
1/1/2014,1/31/2014,"Anderson County, KY",Kentucky,KY,Single Family Residential," $125,000.00 "," $99,950.00 ", 15.00 , 10.00 , 25.00 , 167.00 , 11.10 , 117.00 ,95.32%,6.67%
1/1/2014,1/31/2014,"Crawford County, IN",Indiana,IN,Single Family Residential," $102,500.00 "," $89,900.00 ", 6.00 , 1.00 , 9.00 , 20.00 , 3.30 , 147.00 ,89.08%,0.00%
1/1/2014,1/31/2014,"Green Lake County, WI",Wisconsin,WI,Single Family Residential," $63,500.00 "," $137,450.00 ", 7.00 , 1.00 , 13.00 , 164.00 , 23.40 , 105.00 ,91.14%,0.00%
1/1/2014,1/31/2014,"Ferry County, WA",Washington,WA,Single Family Residential," $190,000.00 "," $194,000.00 ", 3.00 ,, 1.00 , 39.00 , 13.00 , 276.00 ,97.90%,33.33%
1/1/2014,1/31/2014,"Greene County, MS",Mississippi,MS,Single Family Residential," $59,250.00 "," $110,000.00 ", 2.00 ,, 1.00 , 23.00 , 11.50 , 161.00 ,76.05%,0.00%
1/1/2014,1/31/2014,"Becker County, MN",Minnesota,MN,Single Family Residential," $90,000.00 "," $108,450.00 ", 6.00 , 1.00 , 2.00 , 40.00 , 6.70 , 142.00 ,92.34%,0.00%
1/1/2014,1/31/2014,"Fayette County, TX",Texas,TX,Single Family Residential," $310,000.00 "," $319,000.00 ", 9.00 , 4.00 , 9.00 , 50.00 , 5.60 , 172.00 ,92.55%,0.00%
1/1/2014,1/31/2014,"Hendry County, FL",Florida,FL,Single Family Residential," $60,000.00 "," $69,000.00 ", 25.00 , 13.00 , 30.00 , 137.00 , 5.50 , 96.00 ,91.47%,24.00%
1/1/2014,1/31/2014,"Clinton County, MO",Missouri,MO,Single Family Residential," $114,950.00 "," $174,000.00 ", 16.00 ,, 21.00 ,, 9.00 , 114.00 ,,
1/1/2014,1/31/2014,"Decatur County, GA",Georgia,GA,Single Family Residential," $258,000.00 "," $219,900.00 ", 1.00 ,, 1.00 , 6.00 , 6.00 , 184.00 ,99.23%,0.00%
1/1/2014,1/31/2014,"Clearwater County, MN",Minnesota,MN,Single Family Residential," $85,000.00 "," $59,000.00 ", 1.00 ,, 3.00 , 45.00 , 45.00 , 103.00 ,94.55%,0.00%
1/1/2014,1/31/2014,"Sumter County, FL",Florida,FL,Single Family Residential," $186,000.00 "," $199,700.00 ", 45.00 , 34.00 , 89.00 , 355.00 , 7.90 , 72.00 ,95.77%,6.67%
1/1/2014,1/31/2014,"Stanislaus County, CA",California,CA,Single Family Residential," $205,400.00 "," $220,000.00 ", 354.00 , 351.00 , 513.00 , 929.00 , 2.60 , 33.00 ,99.28%,31.07%
1/1/2014,1/31/2014,"Morgan County, CO",Colorado,CO,Single Family Residential," $136,450.00 "," $134,900.00 ", 12.00 , 6.00 , 27.00 , 102.00 , 8.50 , 83.00 ,95.77%,16.67%
1/1/2014,1/31/2014,"Prentiss County, MS",Mississippi,MS,Single Family Residential," $26,055.00 "," $29,900.00 ", 1.00 , 1.00 , 1.00 ,,, 13.00 ,87.14%,0.00%
1/1/2014,1/31/2014,"Aransas County, TX",Texas,TX,Single Family Residential," $405,000.00 "," $312,450.00 ", 1.00 , 4.00 , 11.00 , 32.00 , 32.00 , 76.00 ,94.41%,0.00%
1/1/2014,1/31/2014,"Knox County, KY",Kentucky,KY,Single Family Residential," $155,000.00 "," $135,400.00 ", 5.00 , 1.00 , 12.00 , 75.00 , 15.00 , 187.00 ,92.21%,0.00%
1/1/2014,1/31/2014,"Lyon County, NV",Nevada,NV,Single Family Residential," $139,900.00 "," $141,918.00 ", 41.00 , 47.00 , 90.00 , 246.00 , 6.00 , 48.00 ,99.40%,26.83%
1/1/2014,1/31/2014,"Cherokee County, NC",North Carolina,NC,Single Family Residential," $95,000.00 "," $124,900.00 ", 21.00 , 4.00 , 26.00 , 193.00 , 9.20 , 192.00 ,90.65%,4.76%
1/1/2014,1/31/2014,"Frederick County, MD",Maryland,MD,Single Family Residential," $299,900.00 "," $260,000.00 ", 107.00 , 90.00 , 183.00 , 609.00 , 5.70 , 79.00 ,97.08%,14.95%
1/1/2014,1/31/2014,"Johnston County, NC",North Carolina,NC,Single Family Residential," $157,250.00 "," $180,000.00 ", 132.00 , 80.00 , 231.00 ," 1,096.00 ", 8.30 , 110.00 ,95.67%,15.91%
1/1/2014,1/31/2014,"Cook County, MN",Minnesota,MN,Single Family Residential," $232,500.00 "," $122,400.00 ", 4.00 ,, 4.00 , 80.00 , 20.00 ," 2,278.00 ",89.64%,0.00%
1/1/2014,1/31/2014,"Santa Fe County, NM",New Mexico,NM,Single Family Residential," $315,500.00 "," $309,900.00 ", 93.00 , 27.00 , 100.00 , 598.00 , 6.40 , 145.00 ,91.46%,1.08%
1/1/2014,1/31/2014,"Hopewell, VA",Virginia,VA,Single Family Residential," $96,500.00 "," $100,000.00 ", 11.00 , 11.00 , 38.00 , 119.00 , 10.80 , 80.00 ,95.97%,9.09%
1/1/2014,1/31/2014,"Haywood County, NC",North Carolina,NC,Single Family Residential," $110,700.00 "," $189,750.00 ", 46.00 , 17.00 , 47.00 , 343.00 , 7.50 , 109.00 ,95.06%,13.04%
1/1/2014,1/31/2014,"Victoria County, TX",Texas,TX,Single Family Residential," $154,750.00 "," $174,900.00 ", 46.00 , 31.00 , 69.00 , 209.00 , 4.50 , 78.00 ,97.07%,13.04%
1/1/2014,1/31/2014,"Franklin County, FL",Florida,FL,Single Family Residential," $115,000.00 "," $349,000.00 ", 3.00 ,, 4.00 , 39.00 , 13.00 , 287.00 ,94.69%,33.33%
1/1/2014,1/31/2014,"Lake County, CA",California,CA,Single Family Residential," $132,900.00 "," $189,900.00 ", 33.00 , 34.00 , 70.00 , 222.00 , 6.70 , 38.00 ,95.60%,21.21%
1/1/2014,1/31/2014,"Copiah County, MS",Mississippi,MS,Single Family Residential," $71,024.50 "," $97,815.00 ", 10.00 , 3.00 , 2.00 , 41.00 , 4.10 , 198.00 ,87.32%,20.00%
1/1/2014,1/31/2014,"Scott County, KY",Kentucky,KY,Single Family Residential," $150,000.00 "," $155,900.00 ", 34.00 , 21.00 , 88.00 , 403.00 , 11.90 , 116.00 ,98.54%,8.82%
1/1/2014,1/31/2014,"Wasco County, OR",Oregon,OR,Single Family Residential," $156,300.00 "," $154,900.00 ", 6.00 , 3.00 , 13.00 , 99.00 , 16.50 , 305.00 ,100.08%,33.33%
1/1/2014,1/31/2014,"Sacramento County, CA",California,CA,Single Family Residential," $240,000.00 "," $249,900.00 ", 989.00 ," 1,016.00 "," 1,512.00 "," 2,683.00 ", 2.70 , 39.00 ,99.25%,33.57%
1/1/2014,1/31/2014,"Payne County, OK",Oklahoma,OK,Single Family Residential," $65,000.00 "," $55,000.00 ", 10.00 , 4.00 , 3.00 , 30.00 , 3.00 , 117.00 ,93.93%,0.00%
1/1/2014,1/31/2014,"Whitley County, KY",Kentucky,KY,Single Family Residential," $66,340.00 "," $77,450.00 ", 7.00 , 3.00 , 10.00 , 88.00 , 12.60 , 83.00 ,92.51%,0.00%
1/1/2014,1/31/2014,"Hillsdale County, MI",Michigan,MI,Single Family Residential," $83,750.00 "," $54,750.00 ", 32.00 , 9.00 , 22.00 , 290.00 , 9.10 , 205.00 ,91.40%,6.25%
1/1/2014,1/31/2014,"Williams County, OH",Ohio,OH,Single Family Residential," $95,900.00 "," $78,700.00 ", 15.00 , 8.00 , 28.00 , 214.00 , 14.30 , 168.00 ,94.74%,20.00%
1/1/2014,1/31/2014,"Catawba County, NC",North Carolina,NC,Single Family Residential," $30,000.00 ",, 1.00 ,,, 8.00 , 8.00 , 153.00 ,101.69%,100.00%
1/1/2014,1/31/2014,"Charles County, MD",Maryland,MD,Single Family Residential," $290,000.00 "," $259,000.00 ", 81.00 , 77.00 , 167.00 , 589.00 , 7.30 , 79.00 ,98.23%,17.28%
1/1/2014,1/31/2014,"Bradford County, FL",Florida,FL,Single Family Residential," $134,050.00 "," $182,900.00 ", 2.00 , 1.00 , 7.00 , 42.00 , 21.00 , 107.00 ,86.91%,0.00%
1/1/2014,1/31/2014,"Desha County, AR",Arkansas,AR,Single Family Residential," $76,000.00 "," $80,875.00 ", 1.00 ,, 6.00 , 10.00 , 10.00 , 420.00 ,100.00%,0.00%
1/1/2014,1/31/2014,"Loudon County, TN",Tennessee,TN,Single Family Residential," $165,000.00 "," $167,500.00 ", 33.00 , 4.00 , 28.00 , 294.00 , 8.90 , 666.00 ,94.58%,3.03%
1/1/2014,1/31/2014,"Tipton County, IN",Indiana,IN,Single Family Residential," $58,819.00 "," $149,000.00 ", 7.00 , 4.00 , 6.00 , 59.00 , 8.40 , 81.00 ,99.97%,28.57%
1/1/2014,1/31/2014,"Banks County, GA",Georgia,GA,Single Family Residential," $87,671.00 "," $349,450.00 ", 6.00 , 3.00 , 7.00 , 45.00 , 7.50 , 74.00 ,104.83%,50.00%
1/1/2014,1/31/2014,"Evans County, GA",Georgia,GA,Single Family Residential," $90,350.00 "," $109,500.00 ", 2.00 , 2.00 , 2.00 , 12.00 , 6.00 , 54.00 ,97.80%,0.00%
1/1/2014,1/31/2014,"Rutherford County, NC",North Carolina,NC,Single Family Residential," $86,500.00 "," $119,700.00 ", 22.00 , 13.00 , 44.00 , 158.00 , 7.20 , 126.00 ,95.01%,9.09%
1/1/2014,1/31/2014,"Pepin County, WI",Wisconsin,WI,Single Family Residential," $76,000.00 "," $99,900.00 ", 1.00 ,, 3.00 , 44.00 , 44.00 , 860.00 ,89.52%,0.00%
